"Portland, Oregon Daily Bike Estimates, 2000-2018 (based on 2-hour peak counts)",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
northeast,224,E Burnside & NE 86th,405,415,370,480,555,355,580,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,225,NE Klickitat & 38th,935,930,960,"1,000",955,975,690,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,226,NE Klickitat & 57th,710,470,460,345,645,470,505,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,227,NE Hancock & 47th,815,735,845,910,825,725,680,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,228,NE Couch & 6th,"1,485","1,865","1,715","1,860","1,775","1,605","1,300",-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,229,NE Holman & Grand,265,240,270,260,270,210,175,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,230,NE Marine Dr Trail & 33rd,250,315,220,275,-,265,350,-,-,-,-,-,-,-,-,-,-,-,-,-
north,231,N Going & Vancouver,"2,965","3,435","3,660","3,480","2,930","3,625","3,225",-,-,-,-,-,-,-,-,-,-,-,-,-
north,232,N Going & Williams,"1,605","3,835","3,705","3,780","3,600","3,850","2,870",-,-,-,-,-,-,-,-,-,-,-,-,-
north,233,N Denver & Terry,310,345,425,600,360,380,355,-,-,-,-,-,-,-,-,-,-,-,-,-
north,234,N Willamette Blvd & Carey (to Trail),615,760,830,855,-,695,935,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,235,NW Couch & 14th,815,690,765,650,555,410,525,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,236,NW Raleigh & 14th,320,335,400,405,320,200,220,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,237,NW Overton & 19th,555,665,485,595,690,595,500,-,-,-,-,-,-,-,-,-,-,-,-,-
